child_id,match,vector_similarity,title_similarity,numbers_lenmatches,taxonomy_lenmatches,ner_overlap,length_ratio
956418,0,0.9453107714653015,0.6043854355812073,1,0,0,0.2954954954954955
956420,1,0.9144421219825745,0.36727064847946167,1,1,0,0.08076923076923077
956420,0,0.8829982876777649,0.360485315322876,0,0,0,0.03453947368421053
956791,1,0.971838116645813,0.6276950240135193,6,5,0,0.9187279151943463
956791,0,0.9612978100776672,0.2961682379245758,2,0,0,0.6099137931034483
956792,1,0.9660879373550415,0.5553206205368042,6,9,2,0.8172888015717092
956792,0,0.9587985873222351,0.397045373916626,1,0,0,0.896551724137931
956793,1,0.9614866375923157,0.6605440974235535,5,5,1,0.555992141453831
956793,0,0.914476752281189,0.3831441104412079,0,0,0,0.5126811594202898
956794,1,0.9614866375923157,0.6605440974235535,5,5,1,0.555992141453831
956794,0,0.9654022455215454,0.20429176092147827,0,1,0,0.3555276381909548
956812,1,0.9690330624580383,0.6137511730194092,7,7,0,0.7854984894259819
956812,0,0.9183211922645569,0.47599977254867554,4,0,0,0.5858407079646017
956813,1,0.8887856006622314,0.686182975769043,0,1,0,0.40384615384615385
956813,0,0.9137853384017944,0.5724611282348633,0,0,0,0.11122881355932203
956817,1,0.9451427459716797,0.6071475148200989,4,5,0,0.9386281588447654
956817,0,0.9300172328948975,0.5978410243988037,1,5,0,0.8736462093862816
956818,1,0.9691763520240784,0.6137511730194092,7,7,0,0.7878787878787878
956818,0,0.9570354223251343,0.4878539443016052,3,0,0,0.45706371191135736
956819,1,0.9448262453079224,0.686182975769043,4,6,0,0.6914893617021277
956819,0,0.9440689086914062,0.48987528681755066,0,0,0,0.8103448275862069
956821,1,0.9461951851844788,0.7682404518127441,4,6,0,0.6770833333333334
956821,0,0.9223029017448425,0.4348445534706116,0,1,0,0.8571428571428571
956823,1,0.941860020160675,0.7682404518127441,4,6,0,0.6989247311827957
956823,0,0.9267573952674866,0.6193056106567383,1,7,0,0.6690647482014388
956826,1,0.930253803730011,0.6458448767662048,3,6,0,0.756385068762279
956826,0,0.8958251476287842,0.5005213022232056,0,0,0,0.7475728155339806
956828,1,0.9247942566871643,0.6149572730064392,3,6,0,0.7328094302554028
956828,0,0.9418350458145142,0.2671825885772705,0,0,0,0.6453287197231834
956829,1,0.9247875809669495,0.6149572730064392,3,6,0,0.7269155206286837
956829,0,0.897581160068512,0.37019869685173035,0,3,0,0.8061002178649237
956839,1,0.9591065049171448,0.7546865344047546,7,8,1,0.6860158311345647
956839,0,0.9383655190467834,0.8098320364952087,1,0,0,0.7978947368421052
956840,1,0.9593985080718994,0.6866199374198914,8,8,0,0.5029013539651838
956840,0,0.9643073678016663,0.5228449702262878,0,1,0,0.6982591876208898
956841,1,0.943688690662384,0.7682404518127441,4,6,0,0.6735751295336787
